code,start_stamp
AAL,1127750400.0
AAME,322070400.0
AAOI,1380124800.0
AAON,724435200.0
AAPL,345398400.0
AAXJ,1218729600.0
ABAC,1279555200.0
ABCB,769276800.0
ABCD,1260288000.0
ABCO,1005580800.0
ABDC,1399564800.0
ABIO,870969600.0
ABMD,554482800.0
ABY,1402588800.0
ACAD,1085587200.0
ACFC,1096905600.0
ACFN,697737600.0
ACGL,811008000.0
ACHC,762710400.0
ACIW,793555200.0
ACLS,963244800.0
ACOR,1139500800.0
ACRX,1297353600.0
ACSF,1389801600.0
ACST,1328544000.0
ACTA,933782400.0
ACTG,1039968000.0
ACUR,700761600.0
ACWI,1206633600.0
ACWX,1206979200.0
ADAT,705686400.0
ADBE,524242800.0
ADES,1066752000.0
ADHD,1369152000.0
ADI,322070400.0
ADMA,1381939200.0
ADMP,808329600.0
ADMS,1397059200.0
ADP,322070400.0
ADRA,1037203200.0
ADRD,1037203200.0
ADRE,1037203200.0
ADRU,1037203200.0
ADSK,488736000.0
ADTN,776448000.0
ADUS,1256659200.0
ADXS,1122480000.0
AEGN,376156800.0
AEHR,871574400.0
AEIS,816537600.0
AERI,1382630400.0
AEY,833385600.0
AEZS,957888000.0
AFAM,533923200.0
AFCB,1262793600.0
AFH,1360598400.0
AFMD,1410451200.0
AAVL,-441878400.0
AAWW,1131465600.0
ABAX,696096000.0
ACET,322156800.0
ACHN,1163001600.0
ACNB,765388800.0
ACPW,-441878400.0
ACXM,440179200.0
AETI,1179244800.0
AFSI,1164643200.0
AGEN,949939200.0
AGII,532281600.0
AGIIL,1348502400.0
AGIO,1374595200.0
AGNC,1210780800.0
AGNCB,1512662400.0
AGND,1387296000.0
AGRX,1400774400.0
AGTC,1395849600.0
AGYS,322070400.0
AGZD,1387296000.0
AHGP,1147190400.0
AHPI,695318400.0
AIMC,1166112000.0
AINV,1081180800.0
AIRR,1394467200.0
AIRT,451584000.0
AKAM,941126400.0
AKAO,1394553600.0
AKBA,1395244800.0
AKER,1390406400.0
AKRX,1028217600.0
ALCO,105206400.0
ALDR,1399478400.0
ALDX,1398960000.0
ALGN,980784000.0
ALGT,1165507200.0
ALIM,1271865600.0
ALKS,679590000.0
ALLT,1163606400.0
ALNY,1086019200.0
ALOG,322070400.0
ALOT,370713600.0
ALQA,926611200.0
ALSK,942854400.0
ALTR,1508947200.0
ALXN,825436800.0
AMAT,322070400.0
AMBA,1349798400.0
AMBC,1367337600.0
AMCF,1264435200.0
AMCN,1194364800.0
AMDA,1392220800.0
AMED,777052800.0
AMGN,424627200.0
AMIC,-441878400.0
AMKR,893952000.0
AMNB,923932800.0
AMOT,340819200.0
AMOV,981561600.0
AMPH,1403625600.0
AMRB,915379200.0
AMRI,-441878400.0
AMRK,1394985600.0
AMRN,733593600.0
AMRS,1285603200.0
AMSC,692467200.0
AMSF,1132243200.0
AMSWA,415209600.0
AMTX,1400083200.0
AMWD,521996400.0
AMZN,863625600.0
ALLB,-441831600.0
AMAG,518846400.0
AMCX,1308196800.0
AMD,322117200.0
ABTL,-441831600.0
ACAS,-441831600.0
ACAT,-441831600.0
ADNC,-441831600.0
AFOP,-441831600.0
